author_id,job_title,institution_type,historical_publications,email_consent,country
A0040,Professor,Academic,9,True,United Kingdom
A0041,Clinical Researcher,Corporate,25,False,United States
A0042,Pharma Research Scientist,Corporate,16,True,India
A0043,AI Researcher,Academic,13,True,United States
A0044,Professor,Academic,15,True,United Kingdom
A0045,AI Researcher,Academic,15,True,Germany
A0046,AI Researcher,Corporate,10,False,Japan
A0047,Pharma Research Scientist,Corporate,18,True,India
A0048,Pharma Research Scientist,Corporate,11,True,United States
A0049,Pharma Research Scientist,Unknown,10,True,United Kingdom
A0050,Pharma Research Scientist,Corporate,16,True,United Kingdom
A0051,Pharma Research Scientist,Corporate,12,True,Japan
A0052,Pharma Research Scientist,Corporate,18,False,India
A0053,Pharma Research Scientist,Corporate,14,True,United States
A0054,Pharma Research Scientist,Corporate,16,False,United States
A0055,AI Researcher,Academic,10,True,United States
A0056,Pharma Research Scientist,Corporate,14,True,Japan
A0057,Professor,Academic,19,True,Japan
A0058,Professor,Academic,17,True,India
A0059,AI Researcher,Academic,12,False,United States
A0060,Pharma Research Scientist,Corporate,19,True,United States
A0061,Pharma Research Scientist,Corporate,12,True,India
A0062,Pharma Research Scientist,Corporate,10,False,India
A0063,Pharma Research Scientist,Corporate,17,True,India
A0064,Pharma Research Scientist,Corporate,15,True,United Kingdom
A0065,AI Researcher,Academic,14,False,India
A0066,Pharma Research Scientist,Corporate,9,True,Germany
A0067,Pharma Research Scientist,Corporate,12,False,Japan
A0068,Clinical Researcher,Corporate,11,True,India
A0069,Pharma Research Scientist,Corporate,17,True,United Kingdom
A0070,Pharma Research Scientist,Corporate,18,True,Germany
A0071,AI Researcher,Academic,16,True,United Kingdom
A0072,Professor,Academic,11,True,United Kingdom
A0073,Clinical Researcher,Academic,21,True,United Kingdom
A0074,Professor,Academic,13,False,United Kingdom
A0075,Professor,Academic,7,False,United States
A0076,Professor,Academic,14,True,Japan
A0077,Professor,Academic,14,True,United States
A0078,Pharma Research Scientist,Corporate,20,True,Germany
A0079,AI Researcher,Corporate,16,True,United States
A0080,Pharma Research Scientist,Corporate,15,True,Germany
A0081,Clinical Researcher,Corporate,10,True,India
A0082,Clinical Researcher,Corporate,15,True,Germany
A0083,Pharma Research Scientist,Corporate,17,False,United States
A0084,Professor,Academic,10,True,United States
A0085,Pharma Research Scientist,Corporate,11,True,Germany
A0086,Clinical Researcher,Academic,19,True,United States
A0087,AI Researcher,Academic,19,False,Germany
A0088,Professor,Academic,18,False,United Kingdom
A0089,Pharma Research Scientist,Corporate,17,False,Japan
A0090,Pharma Research Scientist,Corporate,18,False,Germany
A0091,Pharma Research Scientist,Unknown,16,True,United Kingdom
A0092,Professor,Academic,13,True,United Kingdom
A0093,Professor,Academic,14,False,United Kingdom
A0094,Professor,Academic,9,True,United Kingdom
A0095,Professor,Academic,13,True,Germany
A0096,Pharma Research Scientist,Corporate,25,False,United States
A0097,Pharma Research Scientist,Corporate,13,False,United Kingdom
A0098,Pharma Research Scientist,Corporate,12,False,India
A0099,AI Researcher,Academic,16,False,United Kingdom
A0100,Professor,Academic,14,True,United States
A0101,Clinical Researcher,Academic,18,False,United States
A0102,Professor,Academic,20,True,Japan
A0103,Professor,Academic,16,True,Japan
A0104,AI Researcher,Corporate,13,True,United Kingdom
A0105,Professor,Academic,11,True,United Kingdom
A0106,Professor,Academic,18,False,Japan
A0107,Clinical Researcher,Academic,15,True,United Kingdom
A0108,Professor,Academic,14,True,India
A0109,Pharma Research Scientist,Corporate,17,True,Germany
A0110,Professor,Academic,14,True,Japan
A0111,Professor,Academic,11,True,Japan
A0112,Professor,Unknown,17,True,United States
A0113,Pharma Research Scientist,Corporate,13,True,United Kingdom
A0114,AI Researcher,Academic,18,True,Japan
A0115,Pharma Research Scientist,Corporate,14,True,Japan
A0116,Pharma Research Scientist,Corporate,13,True,India
A0117,Clinical Researcher,Academic,19,True,United Kingdom
A0118,AI Researcher,Academic,15,False,Germany
A0119,Professor,Academic,17,True,India
A0120,Clinical Researcher,Corporate,16,True,Germany
A0121,Clinical Researcher,Academic,19,True,United States
A0122,Clinical Researcher,Academic,16,False,Japan
A0123,Pharma Research Scientist,Corporate,17,False,India
A0124,Professor,Academic,16,False,Germany
A0125,Pharma Research Scientist,Corporate,14,True,United Kingdom
A0126,Pharma Research Scientist,Corporate,22,False,United States
A0127,Pharma Research Scientist,Corporate,9,False,United States
A0128,Pharma Research Scientist,Corporate,16,False,Japan
A0129,Pharma Research Scientist,Corporate,12,True,Japan
A0130,Pharma Research Scientist,Corporate,19,False,Germany
A0131,Pharma Research Scientist,Corporate,15,True,Germany
A0132,Pharma Research Scientist,Corporate,20,False,United States
A0133,Professor,Academic,19,True,Germany
A0134,Professor,Academic,10,False,Japan
A0135,AI Researcher,Corporate,12,True,United States
A0136,Pharma Research Scientist,Corporate,16,True,United States
A0137,Pharma Research Scientist,Corporate,15,False,United Kingdom
A0138,Pharma Research Scientist,Corporate,16,True,United Kingdom
A0139,AI Researcher,Academic,10,True,Germany
A0140,Clinical Researcher,Academic,14,True,Germany
A0141,Pharma Research Scientist,Corporate,17,False,Japan
A0142,Clinical Researcher,Corporate,15,True,Japan
A0143,Pharma Research Scientist,Corporate,13,True,United Kingdom
A0144,Pharma Research Scientist,Unknown,12,True,United States
A0145,Pharma Research Scientist,Corporate,23,True,India
A0146,Pharma Research Scientist,Corporate,12,True,India
A0147,Pharma Research Scientist,Corporate,18,True,Germany
A0148,Clinical Researcher,Corporate,11,True,India
A0149,Pharma Research Scientist,Unknown,13,True,India
A0150,AI Researcher,Corporate,12,False,United Kingdom
A0151,Professor,Academic,9,True,United States
A0152,Pharma Research Scientist,Corporate,19,True,Japan
A0153,Pharma Research Scientist,Corporate,15,True,United Kingdom
A0154,Pharma Research Scientist,Corporate,22,True,Japan
A0155,Clinical Researcher,Academic,18,False,United Kingdom
A0156,Clinical Researcher,Academic,18,True,United Kingdom
A0157,Pharma Research Scientist,Corporate,16,True,India
A0158,Pharma Research Scientist,Corporate,10,True,Japan
A0159,Pharma Research Scientist,Corporate,21,True,United Kingdom
A0160,Clinical Researcher,Unknown,15,True,India
A0161,Professor,Academic,15,False,Germany
A0162,Pharma Research Scientist,Corporate,10,False,Japan
A0163,Clinical Researcher,Unknown,19,True,United Kingdom
A0164,AI Researcher,Academic,15,True,Germany
A0165,Professor,Academic,17,True,India
A0166,Pharma Research Scientist,Corporate,12,False,United Kingdom
A0167,Clinical Researcher,Academic,16,True,India
A0168,Clinical Researcher,Academic,14,True,India
A0169,Pharma Research Scientist,Corporate,16,True,India
A0170,AI Researcher,Academic,14,False,Japan
A0171,Clinical Researcher,Corporate,16,True,Germany
A0172,Professor,Academic,23,True,Germany
A0173,Pharma Research Scientist,Corporate,15,True,United States
A0174,Pharma Research Scientist,Corporate,17,False,United Kingdom
A0175,Clinical Researcher,Academic,16,True,India
A0176,Pharma Research Scientist,Corporate,15,True,United Kingdom
A0177,Pharma Research Scientist,Corporate,15,True,Germany
A0178,Pharma Research Scientist,Corporate,17,True,Germany
A0179,Professor,Academic,15,True,India
A0180,Clinical Researcher,Academic,19,False,Japan
A0181,AI Researcher,Corporate,11,True,India
A0182,Pharma Research Scientist,Corporate,19,True,India
A0183,Professor,Academic,13,True,United States
A0184,Professor,Academic,11,True,Japan
A0185,Clinical Researcher,Corporate,12,True,United Kingdom
A0186,AI Researcher,Corporate,13,False,Japan
A0187,Pharma Research Scientist,Corporate,15,True,India
A0188,Pharma Research Scientist,Corporate,15,False,India
A0189,Professor,Academic,10,True,India
A0190,Professor,Academic,14,True,India
A0191,Professor,Academic,18,True,India
A0192,Pharma Research Scientist,Corporate,16,True,Japan
A0193,Pharma Research Scientist,Corporate,11,True,India
A0194,Pharma Research Scientist,Corporate,0,True,Germany
A0195,Professor,Academic,12,True,Germany
A0196,AI Researcher,Academic,15,True,United States
A0197,Professor,Academic,20,True,United Kingdom
A0198,Pharma Research Scientist,Corporate,15,True,Germany
A0199,Pharma Research Scientist,Corporate,15,False,United States
A0200,Pharma Research Scientist,Corporate,20,True,Japan
A0201,Pharma Research Scientist,Corporate,20,True,United Kingdom
A0202,Professor,Academic,14,True,India
A0203,AI Researcher,Corporate,13,False,India
A0204,Pharma Research Scientist,Corporate,16,True,Japan
A0205,Pharma Research Scientist,Corporate,16,False,United Kingdom
A0206,Clinical Researcher,Corporate,14,True,Germany
A0207,Pharma Research Scientist,Corporate,19,True,United Kingdom
A0208,Pharma Research Scientist,Corporate,15,True,United States
A0209,Pharma Research Scientist,Unknown,12,False,Japan
A0210,Professor,Academic,14,False,Germany
A0211,Pharma Research Scientist,Corporate,15,False,United Kingdom
A0212,Professor,Academic,12,True,United Kingdom
A0213,Pharma Research Scientist,Corporate,9,False,Germany
A0214,Pharma Research Scientist,Corporate,11,True,United States
A0215,Pharma Research Scientist,Corporate,19,True,United States
A0216,Pharma Research Scientist,Corporate,16,True,United Kingdom
A0217,Pharma Research Scientist,Corporate,10,True,India
A0218,AI Researcher,Academic,15,False,Germany
A0219,Pharma Research Scientist,Corporate,12,True,United States
A0220,Professor,Academic,11,True,United States
A0221,AI Researcher,Academic,15,True,United States
A0222,Professor,Academic,14,True,Japan
A0223,Pharma Research Scientist,Corporate,20,True,India
A0224,Pharma Research Scientist,Corporate,12,False,United States
A0225,Professor,Academic,18,True,India
A0226,Pharma Research Scientist,Corporate,13,True,United Kingdom
A0227,Pharma Research Scientist,Corporate,18,True,United Kingdom
A0228,Pharma Research Scientist,Corporate,13,True,Japan
A0229,Professor,Unknown,17,True,India
A0230,Clinical Researcher,Corporate,11,True,Germany
A0231,Professor,Academic,17,True,Japan
A0232,Clinical Researcher,Corporate,15,True,United States
A0233,Professor,Unknown,19,True,United Kingdom
A0234,Clinical Researcher,Corporate,16,True,United Kingdom
A0235,Clinical Researcher,Unknown,16,False,Germany
A0236,Pharma Research Scientist,Corporate,26,False,Japan
A0237,Pharma Research Scientist,Corporate,16,True,India
A0238,Professor,Academic,17,True,United Kingdom
A0239,Pharma Research Scientist,Corporate,9,True,United States
A0240,Clinical Researcher,Corporate,19,False,Germany
A0241,AI Researcher,Academic,13,True,Germany
A0242,Professor,Academic,11,False,Germany
A0243,Pharma Research Scientist,Corporate,15,True,United States
A0244,Pharma Research Scientist,Corporate,14,True,Germany
A0245,Clinical Researcher,Academic,13,True,India
A0246,Professor,Academic,16,True,India
A0247,Pharma Research Scientist,Corporate,13,True,Japan
A0248,AI Researcher,Academic,16,True,Japan
A0249,Professor,Academic,20,False,India
A0250,Pharma Research Scientist,Corporate,21,False,United States
A0251,Pharma Research Scientist,Corporate,13,True,Japan
A0252,Pharma Research Scientist,Corporate,15,True,Germany
A0253,Professor,Academic,13,True,India
A0254,Professor,Academic,11,True,United Kingdom
A0255,Clinical Researcher,Corporate,17,True,United States
A0256,Professor,Academic,15,True,United States
A0257,Pharma Research Scientist,Corporate,12,True,India
A0258,AI Researcher,Academic,20,True,United Kingdom
A0259,Clinical Researcher,Academic,14,False,United States
A0260,Professor,Academic,16,False,Japan
A0261,Professor,Academic,19,True,United Kingdom
A0262,Pharma Research Scientist,Corporate,17,True,Germany
A0263,Pharma Research Scientist,Corporate,16,False,Japan
A0264,Pharma Research Scientist,Unknown,18,True,United Kingdom
A0265,Clinical Researcher,Academic,9,True,India
A0266,Professor,Academic,17,True,United States
A0267,Pharma Research Scientist,Corporate,8,True,Japan
A0268,Pharma Research Scientist,Corporate,19,True,India
A0269,Pharma Research Scientist,Corporate,16,False,United Kingdom
A0270,Professor,Academic,15,True,Germany
A0271,Professor,Academic,7,False,United States
A0272,Professor,Academic,18,True,United States
A0273,Clinical Researcher,Unknown,19,True,Japan
A0274,AI Researcher,Academic,13,False,India
A0275,Professor,Academic,16,False,United Kingdom
A0276,Pharma Research Scientist,Corporate,9,True,United Kingdom
A0277,Professor,Academic,12,True,India
A0278,Pharma Research Scientist,Corporate,15,True,United States
A0279,Pharma Research Scientist,Corporate,15,True,India
A0280,AI Researcher,Academic,11,True,United Kingdom
A0281,Pharma Research Scientist,Corporate,12,True,India
A0282,Pharma Research Scientist,Corporate,16,True,United States
A0283,Professor,Academic,17,True,Japan
A0284,AI Researcher,Academic,7,True,United States
A0285,Clinical Researcher,Academic,21,True,Germany
A0286,AI Researcher,Corporate,18,True,Germany
A0287,Clinical Researcher,Academic,19,False,India
A0288,Pharma Research Scientist,Corporate,11,False,United States
A0289,Professor,Academic,16,True,United States
A0290,Clinical Researcher,Academic,7,True,United Kingdom
A0291,Professor,Academic,22,True,Japan
A0292,Pharma Research Scientist,Corporate,12,True,United States
A0293,Pharma Research Scientist,Corporate,17,True,India
A0294,Pharma Research Scientist,Corporate,10,True,United Kingdom
A0295,Pharma Research Scientist,Corporate,14,False,United Kingdom
A0296,Professor,Academic,16,True,India
A0297,Pharma Research Scientist,Corporate,21,True,India
A0298,Pharma Research Scientist,Corporate,14,True,United States
A0299,Pharma Research Scientist,Corporate,8,True,United States
A0300,Professor,Academic,19,True,United Kingdom
A0301,Professor,Academic,17,False,United Kingdom
A0302,Professor,Academic,14,True,Japan
A0303,Pharma Research Scientist,Corporate,12,True,United Kingdom
A0304,Professor,Academic,18,True,India
A0305,Pharma Research Scientist,Corporate,19,False,India
A0306,Pharma Research Scientist,Corporate,18,False,Japan
A0307,Pharma Research Scientist,Corporate,11,True,Germany
A0308,Pharma Research Scientist,Corporate,16,True,Germany
A0309,Professor,Unknown,14,True,India
A0310,Professor,Unknown,13,True,Germany
A0311,Pharma Research Scientist,Corporate,17,True,Germany
A0312,Pharma Research Scientist,Corporate,9,True,Japan
A0313,Pharma Research Scientist,Corporate,15,False,United Kingdom
A0314,Pharma Research Scientist,Corporate,12,True,United Kingdom
A0315,Clinical Researcher,Academic,11,True,Germany
A0316,AI Researcher,Unknown,16,True,United States
A0317,Clinical Researcher,Academic,11,True,Japan
A0318,Pharma Research Scientist,Corporate,15,True,Germany
A0319,Pharma Research Scientist,Unknown,23,True,United States
A0320,Pharma Research Scientist,Corporate,16,True,United States
A0321,Pharma Research Scientist,Corporate,24,True,Japan
A0322,Pharma Research Scientist,Corporate,13,False,United Kingdom
A0323,Professor,Academic,11,True,India
A0324,Pharma Research Scientist,Corporate,17,True,United States
A0325,AI Researcher,Academic,11,True,India
A0326,Professor,Academic,19,True,India
A0327,Pharma Research Scientist,Corporate,13,True,Japan
A0328,Professor,Academic,13,True,United Kingdom
A0329,Pharma Research Scientist,Corporate,25,True,Japan
A0330,Pharma Research Scientist,Corporate,12,False,United States
A0331,Pharma Research Scientist,Corporate,17,True,United Kingdom
A0332,AI Researcher,Academic,8,False,Germany
A0333,Pharma Research Scientist,Corporate,11,True,United Kingdom
A0334,Professor,Academic,19,False,Japan
A0335,AI Researcher,Academic,6,True,Japan
A0336,Professor,Unknown,14,False,India
A0337,AI Researcher,Academic,19,True,Germany
A0338,Professor,Academic,17,True,United Kingdom
A0339,Pharma Research Scientist,Corporate,13,True,Germany
A0340,Professor,Academic,12,True,India
A0341,Pharma Research Scientist,Corporate,12,True,Germany
A0342,Pharma Research Scientist,Corporate,19,True,Germany
A0343,Clinical Researcher,Academic,12,True,United Kingdom
A0344,Clinical Researcher,Corporate,17,True,Germany
A0345,Pharma Research Scientist,Corporate,14,True,India
A0346,Pharma Research Scientist,Corporate,15,False,United States
A0347,Pharma Research Scientist,Corporate,20,False,United States
A0348,Pharma Research Scientist,Corporate,11,True,Japan
A0349,Professor,Academic,13,True,United States
A0350,Pharma Research Scientist,Corporate,10,False,United Kingdom
A0351,Pharma Research Scientist,Corporate,14,False,Japan
A0352,Pharma Research Scientist,Corporate,14,True,United States
A0353,Professor,Academic,15,False,United States
A0354,AI Researcher,Academic,18,True,Japan
A0355,Pharma Research Scientist,Corporate,14,True,United Kingdom
A0356,Professor,Academic,18,True,Japan
A0357,Pharma Research Scientist,Corporate,7,True,United Kingdom
A0358,Professor,Academic,15,True,United Kingdom
A0359,Professor,Academic,12,True,India
A0360,Professor,Academic,13,True,United States
A0361,Clinical Researcher,Academic,15,True,United States
A0362,Professor,Academic,12,True,Germany
A0363,Pharma Research Scientist,Corporate,22,True,Japan
A0364,AI Researcher,Corporate,12,True,India
A0365,Clinical Researcher,Academic,22,True,United States
A0366,Pharma Research Scientist,Corporate,16,False,Germany
A0367,Professor,Academic,14,False,India
A0368,Clinical Researcher,Academic,12,True,United Kingdom
A0369,Clinical Researcher,Academic,22,True,United States
A0370,Pharma Research Scientist,Corporate,11,True,Japan
A0371,Pharma Research Scientist,Corporate,9,False,India
A0372,Pharma Research Scientist,Corporate,10,True,Germany
A0373,Professor,Academic,13,True,Japan
A0374,Professor,Academic,15,True,United Kingdom
A0375,Pharma Research Scientist,Corporate,22,False,Japan
A0376,Pharma Research Scientist,Corporate,22,True,Germany
A0377,Pharma Research Scientist,Corporate,14,True,United Kingdom
A0378,Professor,Academic,13,True,Germany
A0379,Professor,Academic,9,True,United States
A0380,Pharma Research Scientist,Corporate,14,True,Germany
A0381,Pharma Research Scientist,Corporate,14,True,Japan
A0382,Pharma Research Scientist,Unknown,15,True,United States
A0383,Pharma Research Scientist,Corporate,17,False,United States
A0384,Pharma Research Scientist,Corporate,14,True,India
A0385,Clinical Researcher,Academic,15,True,Japan
A0386,Clinical Researcher,Academic,15,False,Japan
A0387,Pharma Research Scientist,Corporate,18,True,United Kingdom
A0388,Professor,Academic,21,False,Germany
A0389,Professor,Academic,25,False,Germany
A0390,Pharma Research Scientist,Corporate,14,True,Japan
A0391,AI Researcher,Academic,9,True,Germany
A0392,Pharma Research Scientist,Corporate,13,True,Japan
A0393,Pharma Research Scientist,Corporate,15,False,United States
A0394,AI Researcher,Academic,14,True,Germany
A0395,AI Researcher,Academic,11,True,Germany
A0396,Pharma Research Scientist,Corporate,15,True,Japan
A0397,Professor,Academic,11,False,Japan
A0398,Professor,Academic,14,False,United Kingdom
A0399,Pharma Research Scientist,Corporate,15,False,Germany
A0400,Pharma Research Scientist,Unknown,18,True,India
A0401,Professor,Academic,16,True,Japan
A0402,Pharma Research Scientist,Corporate,10,True,India
A0403,AI Researcher,Academic,18,True,United States
A0404,Pharma Research Scientist,Corporate,10,True,United States
A0405,Pharma Research Scientist,Corporate,16,True,India
A0406,Clinical Researcher,Academic,10,True,United States
A0407,Professor,Academic,12,False,India
A0408,Clinical Researcher,Academic,13,True,United Kingdom
A0409,Professor,Academic,14,False,United Kingdom
A0410,Pharma Research Scientist,Corporate,15,True,United States
A0411,Clinical Researcher,Academic,14,True,India
A0412,Pharma Research Scientist,Corporate,14,True,India
A0413,AI Researcher,Corporate,15,True,India
A0414,Professor,Academic,17,True,United States
A0415,Professor,Academic,17,True,India
A0416,Pharma Research Scientist,Corporate,22,False,Japan
A0417,Professor,Academic,17,False,India
A0418,Pharma Research Scientist,Corporate,18,True,Japan
A0419,Pharma Research Scientist,Corporate,8,False,United Kingdom
A0420,Pharma Research Scientist,Corporate,17,True,Japan
A0421,Clinical Researcher,Corporate,13,False,United Kingdom
A0422,Pharma Research Scientist,Corporate,12,True,United States
A0423,Pharma Research Scientist,Corporate,19,False,United Kingdom
A0424,Clinical Researcher,Academic,11,True,United Kingdom
A0425,Clinical Researcher,Academic,15,False,India
A0426,Pharma Research Scientist,Corporate,12,True,Germany
A0427,Clinical Researcher,Academic,14,True,United Kingdom
A0428,AI Researcher,Academic,21,True,Japan
A0429,Pharma Research Scientist,Corporate,14,True,United States
A0430,AI Researcher,Academic,9,True,Japan
A0431,Professor,Academic,17,False,United States
A0432,Pharma Research Scientist,Corporate,18,True,Japan
A0433,Professor,Academic,22,True,United Kingdom
A0434,Pharma Research Scientist,Corporate,10,True,Germany
A0435,Professor,Academic,15,True,United Kingdom
A0436,Clinical Researcher,Unknown,14,True,India
A0437,Pharma Research Scientist,Corporate,12,True,Japan
A0438,Pharma Research Scientist,Corporate,17,True,Germany
A0439,AI Researcher,Academic,8,False,Japan
A0440,Pharma Research Scientist,Corporate,20,True,India
A0441,Clinical Researcher,Corporate,12,False,India
A0442,AI Researcher,Academic,16,False,India
A0443,Pharma Research Scientist,Corporate,13,True,United Kingdom
A0444,Clinical Researcher,Academic,12,False,United Kingdom
A0445,AI Researcher,Academic,6,True,Germany
A0446,Clinical Researcher,Unknown,19,True,India
A0447,Pharma Research Scientist,Corporate,19,True,United Kingdom
A0448,Clinical Researcher,Corporate,19,True,United States
A0449,Clinical Researcher,Academic,21,False,United States
A0450,Professor,Academic,23,True,United Kingdom
A0451,Pharma Research Scientist,Corporate,15,True,Germany
A0452,Pharma Research Scientist,Corporate,10,True,Japan
A0453,Pharma Research Scientist,Corporate,13,True,India
A0454,AI Researcher,Academic,18,False,United Kingdom
A0455,Pharma Research Scientist,Corporate,13,True,Germany
A0456,Professor,Academic,12,True,Japan
A0457,Pharma Research Scientist,Corporate,11,True,Germany
A0458,Pharma Research Scientist,Corporate,16,True,Japan
A0459,Pharma Research Scientist,Corporate,12,True,United States
A0460,AI Researcher,Academic,14,True,Japan
A0461,AI Researcher,Academic,18,True,United States
A0462,Professor,Academic,19,False,India
A0463,Professor,Academic,25,True,United Kingdom
A0464,Pharma Research Scientist,Corporate,18,False,United States
A0465,AI Researcher,Corporate,12,False,Germany
A0466,Pharma Research Scientist,Corporate,16,False,Japan
A0467,Pharma Research Scientist,Corporate,16,True,Germany
A0468,Pharma Research Scientist,Corporate,14,False,United States
A0469,Clinical Researcher,Corporate,14,False,Germany
A0470,Pharma Research Scientist,Corporate,21,False,Japan
A0471,Pharma Research Scientist,Corporate,16,True,United Kingdom
A0472,Pharma Research Scientist,Corporate,18,True,Germany
A0473,AI Researcher,Academic,10,False,India
A0474,Pharma Research Scientist,Corporate,23,True,Japan
A0475,Pharma Research Scientist,Corporate,21,True,Japan
A0476,Pharma Research Scientist,Corporate,15,True,India
A0477,Pharma Research Scientist,Corporate,15,False,United States
A0478,Professor,Academic,12,True,India
A0479,AI Researcher,Academic,17,False,United States
A0480,AI Researcher,Academic,18,True,United Kingdom
A0481,Clinical Researcher,Unknown,14,True,United States
A0482,Clinical Researcher,Corporate,16,True,United Kingdom
A0483,Professor,Academic,19,True,United Kingdom
A0484,Pharma Research Scientist,Corporate,11,True,India
A0485,Pharma Research Scientist,Corporate,19,True,United Kingdom
A0486,Pharma Research Scientist,Corporate,9,True,United States
A0487,AI Researcher,Academic,15,True,Germany
A0488,Pharma Research Scientist,Corporate,22,True,Japan
A0489,Professor,Academic,13,True,Japan
A0490,Professor,Academic,14,True,United States
A0491,Professor,Academic,20,True,Germany
A0492,Professor,Academic,13,True,United Kingdom
A0493,AI Researcher,Academic,16,False,United States
A0494,AI Researcher,Corporate,13,True,United Kingdom
A0495,Professor,Unknown,16,True,India
A0496,Pharma Research Scientist,Corporate,22,True,Germany
A0497,Professor,Academic,20,True,Japan
A0498,AI Researcher,Unknown,14,True,United States
A0499,Professor,Academic,16,True,Japan
A0500,Pharma Research Scientist,Corporate,16,True,United Kingdom
A0501,Pharma Research Scientist,Corporate,16,True,United Kingdom
A0502,Pharma Research Scientist,Unknown,15,True,India
A0503,Professor,Academic,13,True,United Kingdom
A0504,Clinical Researcher,Corporate,15,True,United Kingdom
A0505,Professor,Academic,19,True,Japan
A0506,Clinical Researcher,Academic,17,False,Japan
A0507,Professor,Academic,12,True,United States
A0508,Clinical Researcher,Academic,18,False,United States
A0509,Clinical Researcher,Academic,21,True,United Kingdom
A0510,Professor,Academic,22,False,Germany
A0511,Pharma Research Scientist,Corporate,23,True,United States
A0512,Pharma Research Scientist,Corporate,17,True,United Kingdom
A0513,AI Researcher,Academic,15,True,Japan
A0514,Professor,Academic,16,True,India
A0515,AI Researcher,Academic,16,True,Japan
A0516,Professor,Academic,16,True,Japan
A0517,Pharma Research Scientist,Corporate,12,True,India
A0518,Clinical Researcher,Academic,11,True,Japan
A0519,Clinical Researcher,Academic,25,True,United States
A0520,Pharma Research Scientist,Corporate,13,True,Japan
A0521,Pharma Research Scientist,Corporate,20,True,India
A0522,Pharma Research Scientist,Corporate,13,True,United Kingdom
A0523,Professor,Academic,15,True,United Kingdom
A0524,Pharma Research Scientist,Corporate,13,False,United Kingdom
A0525,Pharma Research Scientist,Corporate,20,False,India
A0526,Professor,Academic,15,True,India
A0527,Pharma Research Scientist,Unknown,10,True,United States
A0528,Pharma Research Scientist,Corporate,11,True,India
A0529,Pharma Research Scientist,Corporate,21,True,United Kingdom
A0530,Pharma Research Scientist,Corporate,18,True,India
A0531,Pharma Research Scientist,Corporate,16,True,Germany
A0532,AI Researcher,Academic,14,True,Japan
A0533,AI Researcher,Corporate,20,True,United States
A0534,Professor,Academic,9,False,United Kingdom
A0535,Pharma Research Scientist,Corporate,10,False,United Kingdom
A0536,Pharma Research Scientist,Corporate,17,False,Germany
A0537,Professor,Academic,0,True,United States
A0538,AI Researcher,Corporate,16,True,Japan
A0539,Pharma Research Scientist,Corporate,9,False,United States
A0540,Pharma Research Scientist,Corporate,13,True,United States
A0541,Professor,Academic,12,True,United Kingdom
A0542,Pharma Research Scientist,Corporate,12,True,India
A0543,Clinical Researcher,Academic,16,True,Japan
A0544,Pharma Research Scientist,Corporate,14,True,United States
A0545,AI Researcher,Corporate,15,False,Germany
A0546,Pharma Research Scientist,Corporate,15,True,United Kingdom
A0547,Pharma Research Scientist,Corporate,17,False,India
A0548,Clinical Researcher,Corporate,16,False,India
A0549,Pharma Research Scientist,Corporate,12,False,United Kingdom
A0550,AI Researcher,Academic,24,True,United States
A0551,AI Researcher,Corporate,17,True,United Kingdom
A0552,Pharma Research Scientist,Corporate,20,False,India
A0553,Pharma Research Scientist,Corporate,19,True,India
A0554,Professor,Academic,17,True,Germany
A0555,AI Researcher,Corporate,11,True,Germany
A0556,Professor,Academic,14,True,India
A0557,Pharma Research Scientist,Corporate,15,True,Germany
